macro_category,subcategory,characteristic,required
Abbigliamento,Abbigliamento bambino,Genere,false
Abbigliamento,Abbigliamento bambino,Taglia abbigliamento,false
Abbigliamento,Abbigliamento bambino,Composizione,false
Abbigliamento,Abbigliamento bambino,Vestibilità,false
Abbigliamento,Abbigliamento bambino,Stagione,false
Abbigliamento,Intimo,Modello,false
Abbigliamento,Intimo,Colore,false
Abbigliamento,Intimo,Materiale,false
Abbigliamento,Intimo,Dimensioni,false
Abbigliamento,Intimo,Peso,false
Abbigliamento,Intimo,Genere,false
Abbigliamento,Intimo,Taglia abbigliamento,false
Abbigliamento,Intimo,Vestibilità,false
Abbigliamento,Intimo,Composizione,false
Abbigliamento,Intimo,Fantasia,false
Abbigliamento,Intimo,Stagione,false
Abbigliamento,Intimo,Istruzioni lavaggio,false
Abbigliamento,Pigiami,Modello,false
Abbigliamento,Pigiami,Colore,false
Abbigliamento,Pigiami,Materiale,false
Abbigliamento,Pigiami,Dimensioni,false
Abbigliamento,Pigiami,Peso,false
Abbigliamento,Pigiami,Genere,false
Abbigliamento,Pigiami,Taglia abbigliamento,false
Abbigliamento,Pigiami,Composizione,false
Abbigliamento,Pigiami,Vestibilità,false
Abbigliamento,Pigiami,Stagione,false
Abbigliamento,Costumi da bagno,Modello,false
Abbigliamento,Costumi da bagno,Colore,false
Abbigliamento,Costumi da bagno,Materiale,false
Abbigliamento,Costumi da bagno,Dimensioni,false
Abbigliamento,Costumi da bagno,Peso,false
Abbigliamento,Costumi da bagno,Genere,false
Abbigliamento,Costumi da bagno,Taglia abbigliamento,false
Abbigliamento,Costumi da bagno,Composizione,false
Abbigliamento,Costumi da bagno,Vestibilità,false
Abbigliamento,Costumi da bagno,Stagione,false
Abbigliamento,Scarpe uomo,Modello,false
Abbigliamento,Scarpe uomo,Colore,false
Abbigliamento,Scarpe uomo,Materiale,false
Abbigliamento,Scarpe uomo,Dimensioni,false
Abbigliamento,Scarpe uomo,Peso,false
Abbigliamento,Scarpe uomo,Genere,false
Abbigliamento,Scarpe uomo,Taglia calzature,false
Abbigliamento,Scarpe uomo,Materiale tomaia,false
Abbigliamento,Scarpe uomo,Materiale suola,false
Abbigliamento,Scarpe uomo,Tipo chiusura,false
Abbigliamento,Scarpe uomo,Altezza tacco,false
Abbigliamento,Scarpe uomo,Impermeabile,false
Abbigliamento,Scarpe donna,Modello,false
Abbigliamento,Scarpe donna,Colore,false
Abbigliamento,Scarpe donna,Materiale,false
Abbigliamento,Scarpe donna,Dimensioni,false
Abbigliamento,Scarpe donna,Peso,false
Abbigliamento,Scarpe donna,Genere,false
Abbigliamento,Scarpe donna,Taglia calzature,false
Abbigliamento,Scarpe donna,Materiale tomaia,false
Abbigliamento,Scarpe donna,Materiale suola,false
Abbigliamento,Scarpe donna,Tipo chiusura,false
Abbigliamento,Scarpe donna,Altezza tacco,false
Abbigliamento,Scarpe donna,Impermeabile,false
Abbigliamento,Sneakers,Modello,false
Abbigliamento,Sneakers,Colore,false
Abbigliamento,Sneakers,Materiale,false
Abbigliamento,Sneakers,Dimensioni,false
Abbigliamento,Sneakers,Peso,false
Abbigliamento,Sneakers,Genere,false
Abbigliamento,Sneakers,Taglia calzature,false
Abbigliamento,Sneakers,Materiale tomaia,false
Abbigliamento,Sneakers,Materiale suola,false
Abbigliamento,Sneakers,Tipo chiusura,false
Abbigliamento,Sneakers,Altezza tacco,false
Abbigliamento,Sneakers,Impermeabile,false
Abbigliamento,Borse,Modello,false
Abbigliamento,Borse,Colore,false
Abbigliamento,Borse,Materiale,false
Abbigliamento,Borse,Dimensioni,false
Abbigliamento,Borse,Peso,false
Abbigliamento,Borse,Genere,false
Abbigliamento,Borse,Taglia bagagli,false
Abbigliamento,Borse,Composizione,false
Abbigliamento,Borse,Vestibilità,false
Abbigliamento,Borse,Stagione,false
Abbigliamento,Zaini,Modello,false
Abbigliamento,Zaini,Colore,false
Abbigliamento,Zaini,Materiale,false
Abbigliamento,Zaini,Dimensioni,false
Abbigliamento,Zaini,Peso,false
Abbigliamento,Zaini,Genere,false
Abbigliamento,Zaini,Taglia bagagli,false
Abbigliamento,Zaini,Composizione,false
Abbigliamento,Zaini,Vestibilità,false
Abbigliamento,Zaini,Stagione,false
Abbigliamento,Valigie,Modello,false
Abbigliamento,Valigie,Colore,false
Abbigliamento,Valigie,Materiale,false
Abbigliamento,Valigie,Dimensioni,false
Abbigliamento,Valigie,Peso,false
Abbigliamento,Valigie,Genere,false
Abbigliamento,Valigie,Taglia bagagli,false
Abbigliamento,Valigie,Composizione,false
Abbigliamento,Valigie,Vestibilità,false
Abbigliamento,Valigie,Stagione,false
Abbigliamento,Occhiali da sole,Modello,false
Abbigliamento,Occhiali da sole,Colore,false
Abbigliamento,Occhiali da sole,Materiale,false
Abbigliamento,Occhiali da sole,Dimensioni,false
Abbigliamento,Occhiali da sole,Peso,false
Abbigliamento,Occhiali da sole,Genere,false
Abbigliamento,Occhiali da sole,Taglia accessori,false
Abbigliamento,Occhiali da sole,Composizione,false
Abbigliamento,Occhiali da sole,Vestibilità,false
Abbigliamento,Occhiali da sole,Stagione,false
Abbigliamento,Cinture,Modello,false
Abbigliamento,Cinture,Colore,false
Abbigliamento,Cinture,Materiale,false
Abbigliamento,Cinture,Dimensioni,false
Abbigliamento,Cinture,Peso,false
Abbigliamento,Cinture,Genere,false
Abbigliamento,Cinture,Taglia accessori,false
Abbigliamento,Cinture,Composizione,false
Abbigliamento,Cinture,Vestibilità,false
Abbigliamento,Cinture,Stagione,false
Abbigliamento,Cappelli,Modello,false
Abbigliamento,Cappelli,Colore,false
Abbigliamento,Cappelli,Materiale,false
Abbigliamento,Cappelli,Dimensioni,false
Abbigliamento,Cappelli,Peso,false
Abbigliamento,Cappelli,Genere,false
Abbigliamento,Cappelli,Taglia accessori,false
Abbigliamento,Cappelli,Composizione,false
Abbigliamento,Cappelli,Vestibilità,false
Abbigliamento,Cappelli,Stagione,false
Abbigliamento,Gioielli,Modello,false
Abbigliamento,Gioielli,Colore,false
Abbigliamento,Gioielli,Materiale,false
Abbigliamento,Gioielli,Dimensioni,false
Abbigliamento,Gioielli,Peso,false
Abbigliamento,Gioielli,Genere,false
Abbigliamento,Gioielli,Taglia accessori,false
Abbigliamento,Gioielli,Composizione,false
Abbigliamento,Gioielli,Vestibilità,false
Abbigliamento,Gioielli,Stagione,false
Abbigliamento,Orologi,Modello,false
Abbigliamento,Orologi,Colore,false
Abbigliamento,Orologi,Materiale,false
Abbigliamento,Orologi,Dimensioni,false
Abbigliamento,Orologi,Peso,false
Abbigliamento,Orologi,Tipo display,false
Abbigliamento,Orologi,Dimensione display,false
Abbigliamento,Orologi,Sistema operativo,false
Abbigliamento,Orologi,Compatibilità smartphone,false
Abbigliamento,Orologi,GPS,false
Abbigliamento,Orologi,Sensori,false
Abbigliamento,Orologi,Resistenza acqua,false
Abbigliamento,Orologi,Connettività,false
Abbigliamento,Orologi,Autonomia,false
Casa e cucina,Mobili soggiorno,Modello,false
Casa e cucina,Mobili soggiorno,Colore,false
Casa e cucina,Mobili soggiorno,Materiale,false
Casa e cucina,Mobili soggiorno,Dimensioni,false
Casa e cucina,Mobili soggiorno,Peso,false
Casa e cucina,Mobili soggiorno,Larghezza,false
Casa e cucina,Mobili soggiorno,Altezza,false
Casa e cucina,Mobili soggiorno,Profondità,false
Casa e cucina,Mobili soggiorno,Stile,false
Casa e cucina,Mobili soggiorno,Montaggio richiesto,false
Casa e cucina,Mobili camera,Modello,false
Casa e cucina,Mobili camera,Colore,false
Casa e cucina,Mobili camera,Materiale,false
Casa e cucina,Mobili camera,Dimensioni,false
Casa e cucina,Mobili camera,Peso,false
Casa e cucina,Mobili camera,Larghezza,false
Casa e cucina,Mobili camera,Altezza,false
Casa e cucina,Mobili camera,Profondità,false
Casa e cucina,Mobili camera,Stile,false
Casa e cucina,Mobili camera,Montaggio richiesto,false
Casa e cucina,Mobili cucina,Modello,false
Casa e cucina,Mobili cucina,Colore,false
Casa e cucina,Mobili cucina,Materiale,false
Casa e cucina,Mobili cucina,Dimensioni,false
Casa e cucina,Mobili cucina,Peso,false
Casa e cucina,Mobili cucina,Larghezza,false
Casa e cucina,Mobili cucina,Altezza,false
Casa e cucina,Mobili cucina,Profondità,false
Casa e cucina,Mobili cucina,Stile,false
Casa e cucina,Mobili cucina,Montaggio richiesto,false
Casa e cucina,Illuminazione,Modello,false
Casa e cucina,Illuminazione,Colore,false
Casa e cucina,Illuminazione,Materiale,false
Casa e cucina,Illuminazione,Dimensioni,false
Casa e cucina,Illuminazione,Peso,false
Casa e cucina,Illuminazione,Tipo sorgente luminosa,false
Casa e cucina,Illuminazione,Attacco lampadina,false
Casa e cucina,Illuminazione,Potenza,false
Casa e cucina,Illuminazione,Flusso luminoso,false
Casa e cucina,Illuminazione,Temperatura colore,false
Casa e cucina,Illuminazione,Dimmerabile,false
Casa e cucina,Illuminazione,Grado IP,false
Casa e cucina,Illuminazione,Tensione,false
Casa e cucina,Lampade,Modello,false
Casa e cucina,Lampade,Colore,false
Casa e cucina,Lampade,Materiale,false
Casa e cucina,Lampade,Dimensioni,false
Casa e cucina,Lampade,Peso,false
Casa e cucina,Lampade,Tipo sorgente luminosa,false
Casa e cucina,Lampade,Attacco lampadina,false
Casa e cucina,Lampade,Potenza,false
Casa e cucina,Lampade,Flusso luminoso,false
Casa e cucina,Lampade,Temperatura colore,false
Casa e cucina,Lampade,Dimmerabile,false
Casa e cucina,Lampade,Grado IP,false
Casa e cucina,Lampade,Tensione,false
