name,data_type,unit,options
Capacità netta,number,l,
Consumo annuo,number,kWh,
Rumorosità,number,dB,
Sistema di raffreddamento,enum,,Statico|Ventilato|Misto
No Frost,boolean,,
Tipo pelle/capelli,enum,,Pelle normale|Pelle secca|Pelle grassa|Pelle mista|Pelle sensibile|Capelli normali|Capelli secchi|Capelli grassi|Capelli fini|Capelli ricci|Capelli colorati|Tutti i tipi
Beneficio/Funzione,text,,
Ingredienti principali,text,,
Tonalità,text,,
Finish,enum,,Matte|Satinato|Luminoso|Glitter|Metallizzato|Naturale
Tipo pelle,enum,,Normale|Secca|Grassa|Mista|Sensibile|Tutti i tipi
Effetto,enum,,Volumizzante|Allungante|Incurvante|Rimpolpante|Coprente|Illuminante|Opacizzante|Idratante
Waterproof,boolean,,
Modalità d'uso,text,,
Età consigliata,enum,,0-6 mesi|6-12 mesi|1-3 anni|3-6 anni|6-9 anni|9-12 anni|12+ anni
Numero giocatori,number,,
Durata partita,number,min,
Batterie richieste,boolean,,
Lingua,enum,,Italiano|Inglese|Multilingue|Senza testo
Avvertenze,text,,
Uso previsto,text,,
Peso massimo,number,kg,
Peso prodotto,number,kg,
Reclinabile,boolean,,
Dimensioni chiuso,text,,
Peso bambino,text,,
Numero pezzi,number,,
Assorbenza,enum,,Normale|Alta|Extra|Notte
Sport/Disciplina,text,,
Taglia/Misura,text,,
Livello utilizzo,enum,,Principiante|Intermedio|Avanzato|Professionale
Misura telaio,text,,
Materiale telaio,enum,,Alluminio|Acciaio|Carbonio|Titanio|Cromoly
Diametro ruote,number,pollici,
Numero velocità,number,,
Tipo freni,enum,,A disco idraulici|A disco meccanici|A pattino|Contropedale
Sospensioni,enum,,Rigida|Anteriore|Full suspension
Peso massimo supportato,number,kg,
Compatibilità veicolo,text,,
Anno compatibilità,text,,
Omologazione,text,,
Posizione montaggio,enum,,Anteriore|Posteriore|Laterale|Interno|Esterno|Tetto
Larghezza pneumatico,number,mm,
Rapporto d'aspetto,number,%,
Diametro cerchio,number,pollici,
Indice di carico,text,,
Indice di velocità,enum,,Q|R|S|T|H|V|W|Y|ZR
Runflat,boolean,,
Specie,enum,,Cane|Gatto
Età animale,enum,,Cucciolo|Adulto|Senior|Tutte le età
Gusto/Proteina,text,,
Esigenza specifica,text,,
Materiale struttura,enum,,Legno|Metallo|Vetro|Plastica|Melaminico
Numero ripiani/cassetti,number,,
Portata massima,number,kg,
Finitura,enum,,Opaca|Satinata|Lucida|Semilucida
Resa,number,m²,
Volume,number,l,
Superficie applicabile,text,,
Tempo asciugatura,number,h,
Superficie cottura,number,cm²,
Numero bruciatori,number,,
Materiale griglia,enum,,Ghisa|Acciaio inox|Acciaio smaltato|Cromata
Termometro,boolean,,
